t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs
24.998,463,63.09,15.8,8.63,12.77,2.35,0.00
25.043,464,44.44,22.5,8.40,13.32,2.12,0.00
25.110,465,67.30,14.9,9.32,2.44,2.67,0.00
25.176,466,66.00,15.2,37.08,4.30,2.16,0.00
25.243,467,66.93,14.9,10.27,1.57,0.84,0.00
25.310,468,66.57,15.0,7.90,23.85,0.34,0.00
25.377,469,66.84,15.0,10.11,25.33,2.70,0.00
25.420,470,43.71,22.9,8.85,24.13,2.31,0.00
25.465,471,44.62,22.4,9.09,25.59,2.56,0.00
25.510,472,45.03,22.2,8.91,9.79,2.31,0.00
25.554,473,44.34,22.6,11.85,13.62,2.54,0.00
25.598,474,43.79,22.8,8.26,15.11,2.33,0.00
25.643,475,44.51,22.5,7.47,11.39,2.21,0.00
25.687,476,44.44,22.5,11.01,12.94,2.68,0.00
25.732,477,44.64,22.4,7.75,13.98,2.22,0.00
25.776,478,44.19,22.6,8.12,14.04,2.36,0.00
25.821,479,45.14,22.2,8.36,15.07,2.46,0.00
25.866,480,44.57,22.4,7.74,14.05,2.33,0.00
25.913,481,47.65,21.0,7.24,14.12,2.19,0.00
25.954,482,40.42,24.7,8.56,12.21,2.48,0.00
25.999,483,45.19,22.1,8.37,10.42,2.34,0.00
26.044,484,44.99,22.2,10.77,4.30,2.18,0.00
26.088,485,43.93,22.8,18.37,15.39,2.69,0.00
26.132,486,44.79,22.3,7.42,14.69,2.21,0.00
26.177,487,44.95,22.2,8.91,12.80,2.35,0.00
26.221,488,43.50,23.0,9.88,14.04,2.53,0.00
26.266,489,44.68,22.4,9.00,13.16,2.35,0.00
26.311,490,44.99,22.2,8.17,10.31,2.18,0.00
26.355,491,43.98,22.7,11.92,13.69,2.71,0.00
26.399,492,44.41,22.5,8.65,13.69,4.50,0.00
26.444,493,44.66,22.4,8.30,12.38,2.19,0.00
26.488,494,44.74,22.4,10.82,13.23,2.73,0.00
26.533,495,44.62,22.4,8.53,12.70,4.47,0.00
26.578,496,44.48,22.5,9.55,12.12,2.35,0.00
26.621,497,43.88,22.8,9.26,12.21,2.58,0.00
26.665,498,44.03,22.7,9.61,11.59,5.69,0.00
26.710,499,44.44,22.5,9.11,11.91,2.90,0.00
26.754,500,44.35,22.5,9.95,10.88,3.33,0.00
26.799,501,44.89,22.3,10.86,13.31,5.68,0.49
26.843,502,44.16,22.6,7.83,12.64,2.92,0.00
26.888,503,44.60,22.4,10.58,13.14,3.54,0.00
26.933,504,44.69,22.4,8.68,12.50,5.58,1.20
26.978,505,45.08,22.2,8.63,10.80,3.06,0.00
27.021,506,43.18,23.2,10.86,12.76,3.31,0.00
27.065,507,44.30,22.6,9.11,13.32,5.74,0.27
27.111,508,45.77,21.8,8.46,9.26,2.94,0.00
27.155,509,44.42,22.5,12.22,14.33,3.69,0.00
27.199,510,43.98,22.7,7.96,13.59,5.61,0.00
27.244,511,44.66,22.4,7.50,11.06,3.08,0.00
27.288,512,44.14,22.7,11.08,12.66,3.80,0.00
27.333,513,44.45,22.5,8.68,12.32,5.73,1.02
27.377,514,44.82,22.3,8.38,11.88,3.22,0.00
27.421,515,43.43,23.0,9.82,13.15,3.48,0.00
27.466,516,45.03,22.2,8.86,13.77,5.89,0.00
27.511,517,45.08,22.2,8.02,10.71,3.07,0.00
27.555,518,43.93,22.8,11.08,13.87,3.75,0.00
27.600,519,45.02,22.2,8.62,14.02,5.78,0.00
27.643,520,43.38,23.1,7.89,12.51,3.13,0.00
27.688,521,44.55,22.4,10.53,12.89,3.75,0.00
27.734,522,46.08,21.7,7.91,12.16,5.83,0.00
27.778,523,43.73,22.9,8.95,12.60,3.33,0.84
27.822,524,43.98,22.7,10.60,12.72,3.61,0.00
27.866,525,44.82,22.3,9.16,11.16,6.02,0.32
27.909,526,42.94,23.3,8.01,10.62,3.14,0.00
27.956,527,46.60,21.5,11.26,12.11,3.80,0.00
27.999,528,42.92,23.3,8.65,12.71,5.81,0.00
28.044,529,45.64,21.9,7.52,13.60,3.22,0.00
28.220,530,175.10,5.7,10.98,12.11,3.92,0.00
28.272,531,52.33,19.1,8.31,13.75,5.95,0.00
28.312,532,39.72,25.2,8.81,4.43,3.33,0.00
28.355,533,43.79,22.8,149.25,1.61,3.79,0.00
28.511,534,155.96,6.4,8.59,3.57,0.34,0.00
28.667,535,155.34,6.4,13.90,13.49,3.50,0.00
28.822,536,155.71,6.4,9.21,43.71,3.82,0.15
28.866,537,43.86,22.8,8.04,65.55,3.37,0.00
28.911,538,44.60,22.4,11.35,68.24,4.09,0.00
28.955,539,44.63,22.4,9.91,13.19,6.45,0.00
29.000,540,44.19,22.6,10.40,14.32,6.27,0.00
29.045,541,45.19,22.1,7.53,15.68,3.77,0.00
29.089,542,44.06,22.7,8.42,12.77,3.97,0.00
29.134,543,44.96,22.2,8.58,15.18,7.61,0.00
29.178,544,44.47,22.5,8.13,1.59,4.13,0.00
29.222,545,43.94,22.8,7.15,13.27,0.77,0.00
29.267,546,44.49,22.5,9.41,13.03,7.21,0.00
29.311,547,44.60,22.4,7.81,12.60,3.56,0.00
29.356,548,44.40,22.5,8.34,13.53,3.76,0.00
29.400,549,44.57,22.4,8.00,13.26,6.99,0.00
29.444,550,43.84,22.8,7.48,13.50,3.57,0.00
29.489,551,45.17,22.1,7.78,13.67,3.68,0.00
29.534,552,44.37,22.5,8.27,13.39,6.98,0.00
29.578,553,44.45,22.5,7.84,14.05,3.68,0.00
29.626,554,48.00,20.8,7.30,12.24,3.53,0.00
29.666,555,40.04,25.0,9.75,13.36,7.07,0.00
29.711,556,44.98,22.2,7.18,13.41,3.50,0.00
29.755,557,44.22,22.6,8.54,9.56,3.74,0.00
29.800,558,44.39,22.5,8.32,14.91,6.98,0.00
29.845,559,45.02,22.2,7.60,12.85,3.58,0.00
29.889,560,43.90,22.8,8.68,13.28,3.74,0.00
29.933,561,44.31,22.6,8.72,14.32,6.97,0.00
29.978,562,44.52,22.5,8.32,13.10,3.71,0.00
30.022,563,44.32,22.6,7.73,13.27,3.58,0.00
30.066,564,44.57,22.4,9.23,14.93,7.13,0.00
30.111,565,44.17,22.6,7.24,14.32,3.58,0.00
30.155,566,44.62,22.4,7.71,12.58,3.79,0.00
30.200,567,44.45,22.5,8.13,14.35,7.05,0.00
30.244,568,44.60,22.4,7.36,14.32,3.59,0.00
30.289,569,44.42,22.5,7.69,2.23,3.70,0.00
30.333,570,44.40,22.5,8.14,14.87,1.18,0.00
30.378,571,44.53,22.5,8.14,13.21,3.65,0.00
30.423,572,44.93,22.3,8.23,12.31,3.45,0.00
30.467,573,44.25,22.6,9.72,14.14,7.08,0.00
30.511,574,44.62,22.4,7.37,2.08,3.49,0.00
30.556,575,44.81,22.3,8.14,13.59,0.71,0.00
30.600,576,44.06,22.7,8.06,13.54,6.94,0.00
30.645,577,44.21,22.6,7.33,13.56,3.59,0.00
30.692,578,47.35,21.1,8.26,13.46,3.72,0.00
30.739,579,46.69,21.4,8.39,13.41,7.02,0.00
30.782,580,43.64,22.9,7.69,13.41,3.65,0.83
30.827,581,44.64,22.4,7.94,5.78,3.46,0.00
30.871,582,44.48,22.5,11.35,6.53,4.23,1.20
30.915,583,44.07,22.7,9.12,13.33,6.47,2.55
30.960,584,44.27,22.6,8.19,3.28,3.68,0.00
31.004,585,44.50,22.5,8.39,12.34,1.22,0.00
31.049,586,44.67,22.4,8.49,13.34,6.65,0.00
31.094,587,44.80,22.3,6.84,3.30,3.43,0.00
31.138,588,44.23,22.6,8.00,3.06,1.33,0.00
31.183,589,44.78,22.3,7.30,12.87,0.89,0.16
31.226,590,43.54,23.0,7.80,13.72,3.42,0.00
31.272,591,45.79,21.8,8.04,0.80,4.18,0.00
31.315,592,43.01,23.3,6.53,1.53,0.49,0.00
31.359,593,44.04,22.7,9.15,1.65,0.53,0.36
31.404,594,45.38,22.0,8.18,1.54,0.92,0.00
31.448,595,43.14,23.2,6.84,1.43,0.42,0.00
31.496,596,48.45,20.6,7.33,1.49,0.57,0.00
31.537,597,41.20,24.3,7.75,1.47,1.01,0.00
31.582,598,44.64,22.4,7.29,12.46,0.56,0.00
31.626,599,43.99,22.7,10.24,4.79,3.46,0.00
31.680,600,54.48,18.4,18.24,12.91,4.10,0.00
31.762,601,81.28,12.3,7.76,13.86,3.54,0.00
